编号,钢厂,日期,时间,铜板,类型,Vx,Vy,Vc,Sticking_Expansion,Height,Width,Area,Edgenum,Gave,Fourier,,
1,南钢,2015/6/2,05:56:46,外弧宽面Tv,稳态,0.197,-1.961,0.75,-241.308,4.935,19.782,74.584,68,0.396,4.027,,-3062.982
2,南钢,2015/6/2,23:59:25,外弧宽面Tv,漏钢,0.479,-1.829,0.9,0.652,21.855,67.891,752.951,341,0.689,5.816,,2.689
3,南钢,2015/6/10,10:33:19,外弧宽面Tv,漏钢,1.1,1.489,0.7,1.846,21.15,36.54,389.002,215,0.534,0.263,,
4,南钢,2015/6/10,10:33:01,外弧宽面Tv,稳态,0.31,0,0.7,1.085,7.99,11.72,66.265,84,0.352,0.381,,
5,南钢,2015/6/10,10:33:06,外弧宽面Tv,稳态,0.197,0.414,0.7,0.96,6.345,25.509,125.725,100,0.451,1.154,,
6,南钢,2015/6/16,16:25:16,外弧宽面Tv,稳态,0.282,0.31,0.75,2.096,9.165,63.647,386.662,181,0.718,0.427,,
7,南钢,2015/6/16,16:25:19,内弧宽面Tv,稳态,0.338,0.929,0.75,1.073,9.87,30.965,249.632,128,0.776,1.452,,
8,南钢,2015/6/16,16:25:26,内弧宽面Tv,稳态,0.169,-2.477,0.75,-0.88,11.045,23.223,216.272,124,0.514,0.476,,
9,南钢,2015/6/16,16:25:44,外弧宽面Tv,漏钢,0.226,0.413,0.75,0.499,17.625,53.326,398.183,242,0.569,1.776,,
10,南钢,2015/6/18,05:52:54,内弧宽面Tv,稳态,0.987,-1.461,0.85,1.883,23.5,92.093,1115.719,464,0.453,0.77,,
11,南钢,2015/6/18,05:53:03,内弧宽面Tv,稳态,0.113,1.918,0.85,-0.017,23.5,133.954,2007.687,550,0.521,0.738,,
12,南钢,2015/6/18,05:53:11,内弧宽面Tv,稳态,0.113,0,0.85,0.538,3.995,13.699,40.063,52,0.392,4.701,,
13,南钢,2015/6/18,05:53:16,内弧宽面Tv,稳态,0.197,2.101,0.85,0.482,9.4,27.398,213.369,125,1.144,1.816,,
14,南钢,2015/6/18,05:53:16,外弧宽面Tv,稳态,0.451,2.101,0.85,-10.847,9.635,28.921,174.379,112,0.431,0.386,,
15,南钢,2015/6/18,05:53:20,外弧宽面Tv,稳态,0.254,-0.274,0,-130.843,5.875,15.221,74.581,74,0.553,1.074,,
16,南钢,2015/6/18,05:55:26,内弧宽面Tv,稳态,0.141,-1.461,0.7,-53.137,5.405,50.233,181.184,143,0.338,0.226,,
17,南钢,2015/6/18,05:55:26,外弧宽面Tv,稳态,0.113,0.365,0.7,1.427,3.525,20.55,52.048,62,0.355,0.651,,
18,南钢,2015/6/18,05:55:30,外弧宽面Tv,误报,0.31,0.639,0.7,0.156,10.81,47.188,340.725,173,0.53,3.502,,
19,南钢,2015/6/18,05:55:35,外弧宽面Tv,稳态,0.451,0.091,0.7,0.701,18.095,74.588,455.91,294,0.36,0.39,,
20,南钢,2015/6/18,05:55:35,内弧宽面Tv,稳态,0.395,-0.913,0.7,0.144,23.5,116.448,1505.094,474,0.389,0.62,,
21,南钢,2015/6/18,05:55:42,外弧宽面Tv,稳态,0.451,-1.096,0.7,-1.533,23.5,40.338,336.969,253,0.392,0.227,,
22,南钢,2015/6/21,10:33:43,外弧宽面Tv,漏钢,0.508,2.411,1.05,1.19,20.21,66.506,721.693,298,0.691,5.284,,
23,南钢,2015/6/21,10:33:46,内弧宽面Tv,稳态,0.959,-1.663,1.05,-2.27,23.5,202.288,2938.38,969,1.082,0.307,,
24,南钢,2015/6/21,10:33:51,内弧宽面Tv,稳态,0.367,0.831,1.05,-1.203,23.5,195.36,3234.839,1000,1.222,0.302,,
25,南钢,2015/6/21,10:33:53,内弧宽面Tv,稳态,0.367,0.166,1.05,-1.785,23.5,198.131,2834.839,683,1.076,0.296,,
26,南钢,2015/7/7,13:36:55,外弧宽面Tv,稳态,0.028,-0.103,0.67,-15.089,20.445,57.627,588.786,266,0.51,0.56,,
27,南钢,2015/7/7,13:36:55,内弧宽面Tv,稳态,0.141,0.516,0.67,-0.052,19.035,55.046,638.508,240,0.442,0.766,,
